notice_id,scenario,role,buyer_id,buyer_name,buyer_key,object,cpv,category,need_id,start_date,declared_duration_months,duration_missing_flag,estimated_end_date,true_event,true_source_id,candidate_type,noise_types_applied,large_buyer_flag
SYN_MEDIUM_TRUE_00004,medium,candidate,B0043,Mairie de Laval 043,NAME:laval 043,tierce maintenance applicative pour bibliothèque,,Software & Applications,maintenance logiciel métier,2019-07-24,,1,,0,SYN_MEDIUM_SRC_00004,true_recurrence,missing_cpv,False
SYN_MEDIUM_SRC_00005,medium,source,B0000,Ville de Nantes,NAME:nantes,infogérance de l'infrastructure informatique et accompagnement au déploiement,72700000,Cloud & Infrastructure,infogérance infrastructure,2019-06-24,36.0,0,2022-06-23,0,SYN_MEDIUM_SRC_00005,source,none,True
SYN_MEDIUM_FALSE_00005_00,medium,candidate,B0000,Ville de Nantes,NAME:nantes,développement d'une application web collaborative avec prestations associées,72000000,IT Services & Consulting,développement application web,2022-12-08,,1,,0,SYN_MEDIUM_SRC_00005,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,True
SYN_MEDIUM_SRC_00006,medium,source,B0059,Syndicat mixte numérique 059,NAME:syndicat mixte numerique 059,prestations d'audit de sécurité du système d'information,72222300,Cybersecurity,audit sécurité SI,2015-11-10,,1,2019-11-10,1,SYN_MEDIUM_SRC_00006,source,missing_duration,False
SYN_MEDIUM_TRUE_00006,medium,candidate,B0059,Syndicat mixte numérique 059,NAME:syndicat mixte numerique 059,prestations d'audit de sécurité du système d'information,72212732,Cybersecurity,audit sécurité SI,2019-08-17,,1,,0,SYN_MEDIUM_SRC_00006,true_recurrence,cpv_reclassification,False
SYN_MEDIUM_FALSE_00006_00,medium,candidate,B0059,Syndicat mixte numérique 059,NAME:syndicat mixte numerique 059,prestations informatiques,72222300,Cybersecurity,télécommunications,2018-03-01,,1,,0,SYN_MEDIUM_SRC_00006,false_candidate_same_buyer,false_candidate|generic_short_object|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00007,medium,source,B0142,CHU de Nantes 142,NAME:nantes 142,maintenance du logiciel métier gestion des usagers pour les besoins des services,48000000,Software & Applications,maintenance logiciel métier,2021-07-19,72.0,0,2027-07-19,0,SYN_MEDIUM_SRC_00007,source,none,False
SYN_MEDIUM_SRC_00008,medium,source,B0090,SEMITAN 090,NAME:semitan 090,maintenance du logiciel métier marchés publics,48000000,Software & Applications,maintenance logiciel métier,2015-07-22,,1,2019-07-22,1,SYN_MEDIUM_SRC_00008,source,missing_duration,False
SYN_MEDIUM_TRUE_00008,medium,candidate,B0090,SEMITAN 090,NAME:semitan 090,maintenance du logiciel métier patrimoine pour les besoins des services,48000000,Software & Applications,maintenance logiciel métier,2019-08-06,,1,,0,SYN_MEDIUM_SRC_00008,true_recurrence,none,False
SYN_MEDIUM_FALSE_00008_00,medium,candidate,B0090,SEMITAN 090,NAME:semitan 090,équipements actifs pour l'infrastructure réseau pour plusieurs sites,48219300,Software & Applications,équipements réseau,2019-11-05,,1,,0,SYN_MEDIUM_SRC_00008,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need,False
SYN_MEDIUM_SRC_00009,medium,source,B0064,Vendée Eau 064,NAME:vendee eau 064,solution logicielle,72317000,Cloud & Infrastructure,infogérance infrastructure,2019-11-05,,1,2023-11-05,1,SYN_MEDIUM_SRC_00009,source,missing_duration,False
SYN_MEDIUM_TRUE_00009,medium,candidate,B0064,Vendée Eau 064,NAME:vendee eau 064,infogérance de l'infrastructure informatique,72317000,Cloud & Infrastructure,infogérance infrastructure,2023-11-26,,1,,0,SYN_MEDIUM_SRC_00009,true_recurrence,none,False
SYN_MEDIUM_SRC_00010,medium,source,B0160,ONIRIS 160,NAME:oniris 160,prestations d'audit de sécurité du système d'information,72212732,Cybersecurity,audit sécurité SI,2019-01-17,6.0,0,2019-07-18,0,SYN_MEDIUM_SRC_00010,source,none,False
SYN_MEDIUM_FALSE_00010_00,medium,candidate,B0160,ONIRIS 160,NAME:oniris 160,maintenance du logiciel métier patrimoine pour plusieurs sites,48219300,Software & Applications,maintenance logiciel métier,2019-11-04,,1,,0,SYN_MEDIUM_SRC_00010,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00011,medium,source,B0191,Angers Loire Métropole 191,NAME:angers loire 191,data BI cartographie,38221000,Data / BI / Cartography,data BI cartographie,2018-12-03,6.0,0,2019-06-03,0,SYN_MEDIUM_SRC_00011,source,none,False
SYN_MEDIUM_FALSE_00011_00,medium,candidate,B0191,Angers Loire Métropole 191,NAME:angers loire 191,prestations informatiques,72000000,IT Services & Consulting,développement application web,2022-11-15,,1,,0,SYN_MEDIUM_SRC_00011,false_candidate_same_buyer,false_candidate|generic_short_object,False
SYN_MEDIUM_SRC_00012,medium,source,B0056,SDIS 85 056,NAME:sdis 85 056,hébergement cloud et infogérance de plateformes numériques,72514000,Cloud & Infrastructure,hébergement cloud,2016-05-27,,1,2020-05-27,1,SYN_MEDIUM_SRC_00012,source,missing_duration,False
SYN_MEDIUM_TRUE_00012,medium,candidate,B0056,SDIS 85 056,NAME:sdis 85 056,hébergement cloud et infogérance de plateformes numériques pour les besoins des services,72514000,Cloud & Infrastructure,hébergement cloud,2020-03-16,,1,,0,SYN_MEDIUM_SRC_00012,true_recurrence,timing_outlier,False
SYN_MEDIUM_SRC_00013,medium,source,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,services de télécommunications fixes et mobiles,64200000,Telecom & Networks,télécommunications,2020-08-09,48.0,0,2024-08-09,1,SYN_MEDIUM_SRC_00013,source,none,False
SYN_MEDIUM_TRUE_00013,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,services de télécommunications fixes et mobiles dans le cadre d'un accord-cadre,32400000,Telecom & Networks,télécommunications,2024-06-08,,1,,0,SYN_MEDIUM_SRC_00013,true_recurrence,cpv_reclassification,False
SYN_MEDIUM_FALSE_00013_00,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,maintenance informatique,64200000,IT Services & Consulting,développement application web,2024-01-13,,1,,0,SYN_MEDIUM_SRC_00013,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00014,medium,source,B0200,Commune de Cholet 200,NAME:cholet 200,infogérance de l'infrastructure informatique pour plusieurs sites,48820000,Cloud & Infrastructure,infogérance infrastructure,2015-02-22,48.0,0,2019-02-22,1,SYN_MEDIUM_SRC_00014,source,none,False
SYN_MEDIUM_TRUE_00014,medium,candidate,B0200,Commune de Cholet 200,NAME:cholet 200,infogérance de l'infrastructure informatique pour plusieurs sites,48820000,Cloud & Infrastructure,infogérance infrastructure,2019-01-27,,1,,0,SYN_MEDIUM_SRC_00014,true_recurrence,none,False
SYN_MEDIUM_FALSE_00014_00,medium,candidate,B0339,La Roche-sur-Yon Agglomération 339,NAME:roche sur yon agglomeration 339,développement d'une application web de gestion dans le cadre d'un accord-cadre,48820000,Cloud & Infrastructure,développement application web,2018-06-07,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00015,medium,source,B0102,SDIS 85 102,NAME:sdis 85 102,"prestations data, BI et cartographie décisionnelle",72310000,Data / BI / Cartography,data BI cartographie,2018-10-04,12.0,0,2019-10-04,0,SYN_MEDIUM_SRC_00015,source,none,False
SYN_MEDIUM_SRC_00016,medium,source,B0149,Ville de Saint-Nazaire 149,NAME:saint nazaire 149,assistance à maîtrise d'ouvrage numérique avec prestations associées,71356300,AMOA numérique,AMOA numérique,2016-09-06,24.0,0,2018-09-06,0,SYN_MEDIUM_SRC_00016,source,none,False
SYN_MEDIUM_SRC_00017,medium,source,B0141,Département de Loire-Atlantique 141,NAME:loire atlantique 141,infogérance infrastructure,72514000,Cloud & Infrastructure,infogérance infrastructure,2020-05-31,12.0,0,2021-05-31,1,SYN_MEDIUM_SRC_00017,source,none,False
SYN_MEDIUM_TRUE_00017,medium,candidate,B0141,Conseil departemental de Loire-Atlantique 141,NAME:departemental loire atlantique 141,"administration système, réseau et support d'exploitation incluant support, formation et maintenance",72514000,Cloud & Infrastructure,infogérance infrastructure,2021-03-13,,1,,0,SYN_MEDIUM_SRC_00017,true_recurrence,accent_removed|buyer_abbreviation,False
SYN_MEDIUM_SRC_00018,medium,source,B0113,SEMITAN 113,NAME:semitan 113,solution logicielle,72212218,Digital Workplace & Collaboration,poste de travail,2020-04-26,48.0,0,2024-04-26,1,SYN_MEDIUM_SRC_00018,source,none,False
SYN_MEDIUM_TRUE_00018,medium,candidate,B0113,SEMITAN 113,NAME:semitan 113,"solution collaborative et environnement de travail numérique incluant support, formation et maintenance",72212218,Digital Workplace & Collaboration,poste de travail,2024-07-08,,1,,0,SYN_MEDIUM_SRC_00018,true_recurrence,none,False
SYN_MEDIUM_SRC_00019,medium,source,B0146,Département de la Vendée 146,NAME:vendee 146,hébergement cloud et infogérance de plateformes numériques et accompagnement au déploiement,48820000,Cloud & Infrastructure,hébergement cloud,2018-01-13,12.0,0,2019-01-13,0,SYN_MEDIUM_SRC_00019,source,none,False
SYN_MEDIUM_FALSE_00019_00,medium,candidate,B0146,Département de la Vendée 146,NAME:vendee 146,prestations informatiques,48820000,Cloud & Infrastructure,infogérance infrastructure,2018-12-21,,1,,0,SYN_MEDIUM_SRC_00019,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00020,medium,source,B0047,Nantes Métropole 047,NAME:nantes 047,maintenance du logiciel métier gestion des usagers,72267100,Software & Applications,maintenance logiciel métier,2015-06-10,12.0,0,2016-06-09,1,SYN_MEDIUM_SRC_00020,source,none,False
SYN_MEDIUM_TRUE_00020,medium,candidate,B0047,Nantes Métropole 047,NAME:nantes 047,maintenance du logiciel métier finances pour les besoins des services,72267100,Software & Applications,maintenance logiciel métier,2017-06-29,,1,,0,SYN_MEDIUM_SRC_00020,true_recurrence,timing_outlier,False
SYN_MEDIUM_SRC_00021,medium,source,B0331,SDIS 44 331 DSI,NAME:sdis 44 331,assistance à maîtrise d'ouvrage numérique,72224000,AMOA numérique,AMOA numérique,2021-02-25,36.0,0,2024-02-25,1,SYN_MEDIUM_SRC_00021,source,accent_removed|legal_form_variation,False
SYN_MEDIUM_TRUE_00021,medium,candidate,B0331,SDIS 44 331,NAME:sdis 44 331,assistance à maîtrise d'ouvrage numérique pour les besoins des services,72224000,AMOA numérique,AMOA numérique,2024-03-09,,1,,0,SYN_MEDIUM_SRC_00021,true_recurrence,none,False
SYN_MEDIUM_SRC_00022,medium,source,B0221,Centre hospitalier du Mans 221,NAME:centre hospitalier mans 221,"prestations data, BI et cartographie décisionnelle",72314000,Data / BI / Cartography,data BI cartographie,2017-06-12,12.0,0,2018-06-12,0,SYN_MEDIUM_SRC_00022,source,none,False
SYN_MEDIUM_SRC_00023,medium,source,B0000,Ville de Nantes,NAME:nantes,services de télécommunications fixes et mobiles,32000000,Telecom & Networks,télécommunications,2019-08-08,,1,2023-08-08,0,SYN_MEDIUM_SRC_00023,source,missing_duration,True
SYN_MEDIUM_FALSE_00023_00,medium,candidate,B0183,ONIRIS 183,NAME:oniris 183,infogérance de l'infrastructure informatique et accompagnement au déploiement,72700000,Cloud & Infrastructure,infogérance infrastructure,2023-09-16,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_FALSE_00023_01,medium,candidate,B0048,Région Pays de la Loire 048,NAME:pays loire 048,hébergement cloud et infogérance de plateformes numériques pour les besoins des services,32000000,Cloud & Infrastructure,hébergement cloud,2025-02-17,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00024,medium,source,B0027,CHU de Nantes 027,NAME:nantes 027,"hébergement cloud et infogérance de plateformes numériques incluant support, formation et maintenance",48820000,Cloud & Infrastructure,hébergement cloud,2019-01-01,24.0,0,2020-12-31,1,SYN_MEDIUM_SRC_00024,source,none,False
SYN_MEDIUM_TRUE_00024,medium,candidate,B0027,CHU de Nantes 027,NAME:nantes 027,hébergement cloud et infogérance de plateformes numériques avec prestations associées,72700000,Cloud & Infrastructure,hébergement cloud,2020-10-26,,1,,0,SYN_MEDIUM_SRC_00024,true_recurrence,cpv_reclassification,False
SYN_MEDIUM_SRC_00025,medium,source,B0009,SDIS 44,NAME:sdis 44,équipements actifs pour l'infrastructure réseau dans le cadre d'un accord-cadre,32000000,Telecom & Networks,équipements réseau,2015-04-07,12.0,0,2016-04-06,0,SYN_MEDIUM_SRC_00025,source,none,False
SYN_MEDIUM_FALSE_00025_00,medium,candidate,B0009,SDIS 44,NAME:sdis 44,maintenance du logiciel métier marchés publics pour les besoins des services,32000000,Telecom & Networks,maintenance logiciel métier,2016-03-06,,1,,0,SYN_MEDIUM_SRC_00025,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00026,medium,source,B0058,Communauté de communes du Pays d'Ancenis 058,NAME:communes pays d ancenis 058,hébergement cloud et infogérance de plateformes numériques,72415000,Cloud & Infrastructure,hébergement cloud,2015-06-23,24.0,0,2017-06-22,0,SYN_MEDIUM_SRC_00026,source,none,False
SYN_MEDIUM_FALSE_00026_00,medium,candidate,B0058,Communauté de communes du Pays d'Ancenis 058,NAME:communes pays d ancenis 058,services numériques,72000000,IT Services & Consulting,développement application web,2017-07-31,,1,,0,SYN_MEDIUM_SRC_00026,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00027,medium,source,B0046,Ville de Nantes 046,NAME:nantes 046,équipements réseau,32500000,Telecom & Networks,équipements réseau,2018-10-02,12.0,0,2019-10-02,1,SYN_MEDIUM_SRC_00027,source,none,False
SYN_MEDIUM_TRUE_00027,medium,candidate,B0046,Ville de Nantes 046,NAME:nantes 046,fourniture d'équipements réseau et prestations associées dans le cadre d'un accord-cadre,32500000,Telecom & Networks,équipements réseau,2019-11-11,,1,,0,SYN_MEDIUM_SRC_00027,true_recurrence,none,False
SYN_MEDIUM_FALSE_00027_00,medium,candidate,B0252,ONIRIS 252,NAME:oniris 252,développement application web,72600000,IT Services & Consulting,développement application web,2019-11-21,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_FALSE_00027_01,medium,candidate,B0046,Ville de Nantes 046,NAME:nantes 046,développement d'outils SIG et analyse de données dans le cadre d'un accord-cadre,32500000,Telecom & Networks,data BI cartographie,2019-07-22,,1,,0,SYN_MEDIUM_SRC_00027,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00028,medium,source,B0037,Centre hospitalier du Mans 037,NAME:centre hospitalier mans 037,"prestations data, BI et cartographie décisionnelle",72314000,Data / BI / Cartography,data BI cartographie,2016-12-20,12.0,0,2017-12-20,1,SYN_MEDIUM_SRC_00028,source,none,False
SYN_MEDIUM_TRUE_00028,medium,candidate,B0037,Centre hospitalier du Mans 037,NAME:centre hospitalier mans 037,mise en place d'une solution de reporting et tableaux de bord,72314000,Data / BI / Cartography,data BI cartographie,2018-12-27,,1,,0,SYN_MEDIUM_SRC_00028,true_recurrence,timing_outlier,False
SYN_MEDIUM_FALSE_00028_00,medium,candidate,B0037,Centre hospitalier du Mans 037,NAME:centre hospitalier mans 037,"hébergement cloud et infogérance de plateformes numériques incluant support, formation et maintenance",72514000,Cloud & Infrastructure,hébergement cloud,2019-01-03,,1,,0,SYN_MEDIUM_SRC_00028,false_candidate_same_buyer,false_candidate,False
SYN_MEDIUM_SRC_00029,medium,source,B0001,Nantes Métropole,NAME:nantes,prestations de maintien en condition opérationnelle de l'infrastructure,72415000,Cloud & Infrastructure,infogérance infrastructure,2015-09-17,6.0,0,2016-03-17,1,SYN_MEDIUM_SRC_00029,source,none,True
SYN_MEDIUM_TRUE_00029,medium,candidate,B0001,Nantes Métropole,NAME:nantes,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72415000,Cloud & Infrastructure,infogérance infrastructure,2016-03-18,,1,,0,SYN_MEDIUM_SRC_00029,true_recurrence,none,True
SYN_MEDIUM_FALSE_00029_00,medium,candidate,B0001,Nantes Metropole DSI,NAME:nantes,"prestations data, BI et cartographie décisionnelle",72415000,Cloud & Infrastructure,data BI cartographie,2016-07-22,,1,,0,SYN_MEDIUM_SRC_00029,false_candidate_same_buyer,accent_removed|buyer_abbreviation|false_candidate|legal_form_variation|same_broad_category_wrong_need,True
SYN_MEDIUM_SRC_00030,medium,source,B0253,Ville de Nantes 253,NAME:nantes 253,"prestations data, BI et cartographie décisionnelle",38221000,Data / BI / Cartography,data BI cartographie,2021-01-23,48.0,0,2025-01-23,0,SYN_MEDIUM_SRC_00030,source,none,False
SYN_MEDIUM_FALSE_00030_00,medium,candidate,B0140,Région Pays de la Loire 140,NAME:pays loire 140,mise à disposition d'environnements cloud pour les applications pour plusieurs sites,38221000,Cloud & Infrastructure,hébergement cloud,2024-08-26,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_FALSE_00030_01,medium,candidate,B0253,Ville de Nantes 253,NAME:nantes 253,hébergement cloud et infogérance de plateformes numériques,38221000,Data / BI / Cartography,hébergement cloud,2025-05-06,,1,,0,SYN_MEDIUM_SRC_00030,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_FALSE_00030_02,medium,candidate,B0253,Ville de Nantes 253,NAME:nantes 253,conception et réalisation d'une plateforme numérique documentaire pour plusieurs sites,72200000,IT Services & Consulting,développement application web,2024-08-17,,1,,0,SYN_MEDIUM_SRC_00030,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00031,medium,source,B0138,Ville de Nantes 138,NAME:nantes 138,maintenance du logiciel métier marchés publics avec prestations associées,48450000,Software & Applications,maintenance logiciel métier,2017-04-06,48.0,0,2021-04-06,1,SYN_MEDIUM_SRC_00031,source,none,False
SYN_MEDIUM_TRUE_00031,medium,candidate,B0138,Ville de Nantes 138,NAME:nantes 138,maintenance du logiciel métier finances,48450000,Software & Applications,maintenance logiciel métier,2021-03-02,,1,,0,SYN_MEDIUM_SRC_00031,true_recurrence,none,False
SYN_MEDIUM_SRC_00032,medium,source,B0134,Conseil départemental de la Sarthe 134,NAME:departemental sarthe 134,hébergement cloud et infogérance de plateformes numériques,72415000,Cloud & Infrastructure,hébergement cloud,2016-11-14,12.0,0,2017-11-14,1,SYN_MEDIUM_SRC_00032,source,none,False
SYN_MEDIUM_TRUE_00032,medium,candidate,B0134,Conseil départemental de la Sarthe 134,NAME:departemental sarthe 134,hébergement cloud et infogérance de plateformes numériques,72415000,Cloud & Infrastructure,hébergement cloud,2017-09-04,,1,,0,SYN_MEDIUM_SRC_00032,true_recurrence,none,False
SYN_MEDIUM_FALSE_00032_00,medium,candidate,B0134,Conseil départemental de la Sarthe 134,NAME:departemental sarthe 134,"mise en place d'une solution de reporting et tableaux de bord incluant support, formation et maintenance",72415000,Data / BI / Cartography,data BI cartographie,2018-03-25,,1,,0,SYN_MEDIUM_SRC_00032,false_candidate_same_buyer,false_candidate|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00033,medium,source,B0019,Conseil départemental de la Sarthe,NAME:departemental sarthe,prestations informatiques,,Cloud & Infrastructure,infogérance infrastructure,2017-09-15,,1,2021-09-15,0,SYN_MEDIUM_SRC_00033,source,missing_cpv|missing_duration,False
SYN_MEDIUM_FALSE_00033_00,medium,candidate,B0019,Conseil départemental de la Sarthe,NAME:departemental sarthe,mission d'évaluation de la sécurité informatique,72212732,Cybersecurity,audit sécurité SI,2021-03-12,,1,,0,SYN_MEDIUM_SRC_00033,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00034,medium,source,B0015,Université de Nantes,NAME:nantes,maintenance du logiciel métier gestion des usagers avec prestations associées,48611000,Software & Applications,maintenance logiciel métier,2020-05-10,,1,2024-05-10,1,SYN_MEDIUM_SRC_00034,source,missing_duration,False
SYN_MEDIUM_TRUE_00034,medium,candidate,B0015,Université de Nantes,NAME:nantes,maintenance du logiciel métier bibliothèque dans le cadre d'un accord-cadre,48611000,Software & Applications,maintenance logiciel métier,2024-07-25,,1,,0,SYN_MEDIUM_SRC_00034,true_recurrence,none,False
SYN_MEDIUM_SRC_00035,medium,source,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,fourniture d'équipements réseau et prestations associées,32420000,Telecom & Networks,équipements réseau,2016-10-07,48.0,0,2020-10-07,1,SYN_MEDIUM_SRC_00035,source,none,False
SYN_MEDIUM_TRUE_00035,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,fourniture d'équipements réseau et prestations associées et accompagnement au déploiement,32420000,Telecom & Networks,équipements réseau,2020-07-27,,1,,0,SYN_MEDIUM_SRC_00035,true_recurrence,none,False
SYN_MEDIUM_FALSE_00035_00,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,prestations informatiques,72224000,IT Services & Consulting,développement application web,2020-12-15,,1,,0,SYN_MEDIUM_SRC_00035,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00036,medium,source,B0216,SDIS 44 216,NAME:sdis 44 216,assistance à maîtrise d'ouvrage numérique,72224000,AMOA numérique,AMOA numérique,2017-05-15,12.0,0,2018-05-15,1,SYN_MEDIUM_SRC_00036,source,none,False
SYN_MEDIUM_TRUE_00036,medium,candidate,B0216,SDIS 44 216,NAME:sdis 44 216,assistance à maîtrise d'ouvrage numérique dans le cadre d'un accord-cadre,72224000,AMOA numérique,AMOA numérique,2018-07-17,,1,,0,SYN_MEDIUM_SRC_00036,true_recurrence,none,False
SYN_MEDIUM_SRC_00037,medium,source,B0103,Ville de Saint-Nazaire 103,NAME:saint nazaire 103,hébergement cloud et infogérance de plateformes numériques,72514000,Cloud & Infrastructure,hébergement cloud,2015-03-15,24.0,0,2017-03-14,0,SYN_MEDIUM_SRC_00037,source,none,False
SYN_MEDIUM_SRC_00038,medium,source,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,infogérance de l'infrastructure informatique pour plusieurs sites,72415000,Cloud & Infrastructure,infogérance infrastructure,2018-04-21,24.0,0,2020-04-20,1,SYN_MEDIUM_SRC_00038,source,none,False
SYN_MEDIUM_TRUE_00038,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,"administration système, réseau et support d'exploitation pour les besoins des services",72317000,Cloud & Infrastructure,infogérance infrastructure,2020-06-16,,1,,0,SYN_MEDIUM_SRC_00038,true_recurrence,cpv_reclassification,False
SYN_MEDIUM_FALSE_00038_00,medium,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,services de télécommunications fixes et mobiles pour les besoins des services,72415000,Telecom & Networks,télécommunications,2020-03-28,,1,,0,SYN_MEDIUM_SRC_00038,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_MEDIUM_SRC_00039,medium,source,B0180,Conseil départemental de la Sarthe 180,NAME:departemental sarthe 180,maintenance du logiciel métier bibliothèque pour les besoins des services,72261000,Software & Applications,maintenance logiciel métier,2017-07-31,12.0,0,2018-07-31,1,SYN_MEDIUM_SRC_00039,source,none,False
